,track_name,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Battery (Remastered),Metallica,7wz8LNfmGZ3C0PwKW9LdDg,0.48,0.923,11,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535,audio_features,7wz8LNfmGZ3C0PwKW9LdDg,spotify:track:7wz8LNfmGZ3C0PwKW9LdDg,https://api.spotify.com/v1/tracks/7wz8LNfmGZ3C0PwKW9LdDg,https://api.spotify.com/v1/audio-analysis/7wz8LNfmGZ3C0PwKW9LdDg,312360,4
0,Ride The Lightning (Remastered),Metallica,36DLF96pjKydN0MZtsahQz,0.265,0.973,9,-6.129,1,0.173,5.15e-05,0.0942,0.205,0.27,148.506,audio_features,36DLF96pjKydN0MZtsahQz,spotify:track:36DLF96pjKydN0MZtsahQz,https://api.spotify.com/v1/tracks/36DLF96pjKydN0MZtsahQz,https://api.spotify.com/v1/audio-analysis/36DLF96pjKydN0MZtsahQz,396987,4
0,Turn The Page,Metallica,7HPhrbgMHV5cUskknWA2oo,0.422,0.818,8,-3.941,1,0.0319,1.64e-05,0.0137,0.0931,0.228,149.045,audio_features,7HPhrbgMHV5cUskknWA2oo,spotify:track:7HPhrbgMHV5cUskknWA2oo,https://api.spotify.com/v1/tracks/7HPhrbgMHV5cUskknWA2oo,https://api.spotify.com/v1/audio-analysis/7HPhrbgMHV5cUskknWA2oo,366400,4
0,Creeping Death (Remastered),Metallica,4q9QVIaLqjbcoqeCfM2zan,0.31,0.977,6,-5.478,0,0.164,0.000219,0.273,0.0785,0.179,100.626,audio_features,4q9QVIaLqjbcoqeCfM2zan,spotify:track:4q9QVIaLqjbcoqeCfM2zan,https://api.spotify.com/v1/tracks/4q9QVIaLqjbcoqeCfM2zan,https://api.spotify.com/v1/audio-analysis/4q9QVIaLqjbcoqeCfM2zan,395707,4
0,Master of Puppets,Metallica,799XxzSlWNYkuWJxUbuGnF,0.538,0.868,4,-7.357,0,0.0377,0.000599,0.482,0.199,0.556,105.164,audio_features,799XxzSlWNYkuWJxUbuGnF,spotify:track:799XxzSlWNYkuWJxUbuGnF,https://api.spotify.com/v1/tracks/799XxzSlWNYkuWJxUbuGnF,https://api.spotify.com/v1/audio-analysis/799XxzSlWNYkuWJxUbuGnF,514480,4
0,The Four Horsemen (Remastered),Metallica,4YPgTCGJWAlHQ5g6eWoM8r,0.222,0.938,0,-6.91,1,0.375,0.00171,0.0845,0.108,0.329,203.098,audio_features,4YPgTCGJWAlHQ5g6eWoM8r,spotify:track:4YPgTCGJWAlHQ5g6eWoM8r,https://api.spotify.com/v1/tracks/4YPgTCGJWAlHQ5g6eWoM8r,https://api.spotify.com/v1/audio-analysis/4YPgTCGJWAlHQ5g6eWoM8r,432547,4
0,Welcome Home (Sanitarium) (Remastered),Metallica,7LHZ7HA45ezKcdN8sBrBuS,0.309,0.767,0,-9.676,1,0.033,0.000305,0.151,0.0967,0.413,97.944,audio_features,7LHZ7HA45ezKcdN8sBrBuS,spotify:track:7LHZ7HA45ezKcdN8sBrBuS,https://api.spotify.com/v1/tracks/7LHZ7HA45ezKcdN8sBrBuS,https://api.spotify.com/v1/audio-analysis/7LHZ7HA45ezKcdN8sBrBuS,387147,4
0,Don't Tread on Me (Remastered),Metallica,0u9ORuO4xOQY5SHxNcvCnV,0.655,0.882,4,-6.471,0,0.0491,0.0068,0.00297,0.259,0.678,108.019,audio_features,0u9ORuO4xOQY5SHxNcvCnV,spotify:track:0u9ORuO4xOQY5SHxNcvCnV,https://api.spotify.com/v1/tracks/0u9ORuO4xOQY5SHxNcvCnV,https://api.spotify.com/v1/audio-analysis/0u9ORuO4xOQY5SHxNcvCnV,240160,4
0,King Nothing,Metallica,140u2dqlZbpi4ZLgeolKqA,0.528,0.909,8,-5.712,1,0.0381,7.77e-05,0.00959,0.0891,0.349,112.083,audio_features,140u2dqlZbpi4ZLgeolKqA,spotify:track:140u2dqlZbpi4ZLgeolKqA,https://api.spotify.com/v1/tracks/140u2dqlZbpi4ZLgeolKqA,https://api.spotify.com/v1/audio-analysis/140u2dqlZbpi4ZLgeolKqA,328133,4
0,Blackened (Remastered),Metallica,0M1pfDTZGWC7cBuEx3FwwT,0.435,0.853,4,-7.341,0,0.124,5.31e-05,0.00746,0.13,0.475,129.218,audio_features,0M1pfDTZGWC7cBuEx3FwwT,spotify:track:0M1pfDTZGWC7cBuEx3FwwT,https://api.spotify.com/v1/tracks/0M1pfDTZGWC7cBuEx3FwwT,https://api.spotify.com/v1/audio-analysis/0M1pfDTZGWC7cBuEx3FwwT,402144,4
